ds,yhat,yhat_lower,yhat_upper,trend
2014-01-03,1399.6724790555413,-1105.2851654028566,3930.1428048582457,1155.6870860261322
2014-01-04,977.5888178737025,-1568.5604261676317,3613.4874156474248,1155.8542147267412
2014-01-05,1031.2118571840986,-1291.3050542859958,3690.8752337823253,1156.0213434273505
2014-01-06,1110.8383903436188,-1404.8661615857693,3803.342440072446,1156.1884721279598
2014-01-07,404.540375610061,-2194.9873944626424,2944.3755259402274,1156.3556008285689
2014-01-08,-623.8189419392356,-3225.972691693563,1796.3224895521173,1156.5227295291784
2014-01-09,454.22137706487797,-2077.863749102184,3350.8097897665184,1156.6898582297877
2014-01-10,891.8264765828613,-1740.7525030545216,3355.61063510911,1156.8569869303967
2014-01-11,519.8061744802553,-1955.1477874155385,3120.3516689906246,1157.024115631006
2014-01-12,628.3539048840036,-1788.2979404314415,3135.6153232188535,1157.1912443316153
2014-01-13,766.7552835468448,-1852.007453752843,3222.7372523901327,1157.3583730322243
2014-01-14,121.97132735527953,-2203.8216776832082,2700.782571130815,1157.5255017328336
2014-01-15,-843.3210748293127,-3403.3118020805227,1887.936963259082,1157.692630433443
2014-01-16,298.1038434711886,-2247.261848480356,2794.8603856118,1157.8597591340522
2014-01-17,798.1554648173383,-1906.6290635189307,3316.436963274787,1158.0268878346612
2014-01-18,486.39644522846686,-1919.393062447232,3060.105298475787,1158.1940165352707
2014-01-19,651.8110998923246,-1874.1243932455252,3195.2830484042843,1158.36114523588
2014-01-20,2129.1141543339945,-456.0420967879314,4791.695898805562,1158.528273936489
2014-01-21,244.50570981131125,-2253.126683690749,2954.9075516135804,1158.6954026370984
2014-01-22,-680.5502958380018,-3253.6649692794913,1882.1075812355314,1158.8625313377077
2014-01-23,493.8181791165907,-2276.1180551893435,2992.396335738169,1159.0296600383167
2014-01-24,1018.9022519685532,-1507.01860557188,3383.4953311977038,1159.196788738926
2014-01-25,723.8270546750367,-1740.9703252842075,3309.1938584884465,1159.3639174395353
2014-01-26,897.332459203197,-1662.757797165382,3387.2294190206226,1159.5310461401446
2014-01-27,1087.5184544801782,-1727.7952859540503,3739.1460875588314,1159.6981748407536
2014-01-28,480.4592393106269,-2048.600032614593,3043.8356553052186,1159.8653035413631
2014-01-29,-461.7322031491135,-3101.8532177827415,2078.2152085347507,1160.0324322419724
2014-01-30,687.945560122387,-1789.4257062956765,3284.6959688178376,1160.1995609425815
2014-01-31,1181.5258689883804,-1606.1185109968455,3668.968667366728,1160.3666896431907
2014-02-01,849.0440984282732,-1643.6492571058193,3291.1940189408842,1160.5338183438
2014-02-02,980.2981618800319,-1671.8477628877004,3408.090573482416,1160.700947044409
2014-02-03,1124.5699182711783,-1469.4385294259541,3676.3169330871965,1160.8680757450184
